a3324204-3ab1-465a-86f9-5fdd54bd8573	f	2020-12-01 09:18:23.806228+03	2020-12-01 09:18:23.806228+03				Z-ADMIN						FA-11		a74d846b-c3cb-4d32-bee3-c456100fc44a	t			0	0
f2a864bf-e98c-4d5e-9c84-bd504d08692a	f	2020-12-01 12:18:23.806228+03	2020-12-01 12:18:23.806228+03				BLASC	9					FA-10	153 Gibbons Rd, Blacksburg, South Carolina, 29702	a74d846b-c3cb-4d32-bee3-c456100fc44a	t			35,154179435570335	-81,48197263073814
b54e909f-df5b-467f-8471-8d387fdf297c	f	2020-12-01 12:18:23.806228+03	2020-12-01 12:18:23.806228+03				MILON	3					FA-3	8460 Mount Pleasant Way, Unit 2, Milton, Ontario, L9T 8W7	a74d846b-c3cb-4d32-bee3-c456100fc44a	t			43,52906718891351	-79,92114818819833
a0b9923a-f2cc-4f49-a364-424df4b90daf	f	2020-12-01 12:18:23.806228+03	2020-12-01 12:18:23.806228+03				WHIIN	12					FA-5	5102 E 500 S, Whitestown, Indiana, 46075	a74d846b-c3cb-4d32-bee3-c456100fc44a	t			39,97032754868278	-86,37124287294924
a09897b8-d35a-4984-a3e6-0a857d68e620	f	2020-12-01 12:18:23.806228+03	2020-12-01 12:18:23.806228+03				VEGNV	10					FA-7	4800 E Cheyenne Ave, Las Vegas, Nevada, 89115	a74d846b-c3cb-4d32-bee3-c456100fc44a	t			36,220056690785235	-115,06842668653
89fc3b33-17a4-49a5-9028-4d73f299384c	f	2020-12-01 12:18:23.806228+03	2020-12-01 12:18:23.806228+03				GREIN	5					FA-8	6719 W. 350 N., Greenfield, Indiana, 46140	a74d846b-c3cb-4d32-bee3-c456100fc44a	t			39,83280945671147	-85,9288576017887
199c8320-b8d1-4532-9fe0-12cf8c635c10	f	2020-12-01 12:18:23.806228+03	2020-12-01 12:18:23.806228+03				BENAR	1					FA-2	4900 SW Regional Airport Blvd, Bentonville, Arkansas, 72713	a74d846b-c3cb-4d32-bee3-c456100fc44a	t			36,3286053502418	-94,26037348653134
662e612a-411c-4b41-b6dc-e06a882ceecb	f	2020-12-01 12:18:23.806228+03	2020-12-01 12:18:23.806228+03				FRAKY	6					FA-9	2001 Leestown Road, Frankfort, Kentucky, 40601	a74d846b-c3cb-4d32-bee3-c456100fc44a	t			38,184631142062436	-84,79429880183004
64da29c4-3027-4493-9627-c5431df6118d	f	2020-12-01 12:18:23.806228+03	2020-12-01 12:18:23.806228+03				ROGAR	8					FA-6	1203C N 6th St, Rogers, Arkansas, 72756-2846	a74d846b-c3cb-4d32-bee3-c456100fc44a	t			36,345323454804216	-94,1219878153668
1bd46508-2bff-4222-a58d-fad8b0ea6693	f	2020-12-01 12:18:23.806228+03	2020-12-01 12:18:23.806228+03				PALGA	11					FA-1	8400 Tatum Rd, Palmetto, Georgia, 30268	a74d846b-c3cb-4d32-bee3-c456100fc44a	t			33,534698756945865	-84,63413508659511
7894540d-5c62-4765-b8d9-0ec5d7fe5485	f	2020-09-04 21:06:07.667+03	2020-12-01 12:18:23.806228+03				LVGNV	13					FA-4	5605 N Hollywood Blvd, Suite A, Las Vegas, Nevada, 89115	a74d846b-c3cb-4d32-bee3-c456100fc44a	t			36,26442924826643	-115,02802078653265